corvid::Value	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Null	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Bool	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Int	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Float	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Text	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Bytes	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Array	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Map	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::Value::Vector	WHERE	MAPPED	corvid.Value constructors + corvid.Value.kind (corvid.ValueKind)	golden:values.txt:VTYPE
corvid::value::MAX_NESTING	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::encode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::decode	Lifecycle	N/A	N/A	engine byte codec is dump/load internal machinery, not a binding API
corvid::Value::get	WHERE	MAPPED	corvid.ValueView.arrayGet/mapGet	golden:values.txt:VNEST
corvid::Value::get_path	WHERE	MAPPED	corvid.ValueView.arrayGet/mapGet	golden:values.txt:VNEST
corvid::Value::as_bool	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_int	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_float	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_text	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_bytes	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::Value::as_vector	WHERE	MAPPED	corvid.ValueView.asBool/asInt/asFloat, textRef/bytesRef/vectorRef	golden:values.txt:VAS_*/V*_REF
corvid::CmpOp	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Eq	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Ne	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Lt	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Le	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Gt	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::CmpOp::Ge	WHERE	MAPPED	corvid.Cmp (.eq/.ne/.lt/.le/.gt/.ge)	golden:queries.txt:QF_*
corvid::Predicate	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Compare	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Exists	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::In	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::Between	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
corvid::Predicate::StartsWith	WHERE	MAPPED	corvid.Pred constructor family (+ andOp/orOp/notOp moves)	golden:queries.txt:QF_* + golden:mutations.txt:DELETE_IN
